mealName,srcImg,kcal,carboHydrates,carboWithSugars,proteins,fats,saturatedFats,fiber,salt,LACTEO,VEGANO,CARNE,PESCADO,MARISCO,FRUTA,VEGETALES,LEGUMBRES,CEREALES,SEMILLAS,HUEVO,FRUTOS_SECOS,GLUTEN,ORIGEN_ANIMAL,DESAYUNO,MEDIO_DIA,ALMUERZO,MERIENDA,CENA,APERITIVOS,PRE_ENTRENO,APERITIVOS,GENERICO
muesli 50% frutas y frutos secos,img_108,367,60,26,6.8,9.3,5.1,7.8,0,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,true,false,false,false,false,false
muesi sin azucar,img_109,369,63,16,12,5.8,0.9,8.3,0,false,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,false,false,false,false,false,false
copos de trigo integral y arroz con chocolate,img_110,396,74.5,23.2,9.2,5.6,4,5.3,0,false,true,false,false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false
avena molida,img_111,384,59.9,1,12.2,7.1,1.3,10,0,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false
salvado de avena,img_112,359,44.10,1.4,17.6,8.7,1.6,16.5,0.02,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false
cereales con salvado de trigo,img_113,318,44.10,22.18,13.6,3.5,0.7,28,0.75,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false
muesli con frutas,img_114,361,59,15,9.1,7.6,3.9,10,0.2,false,true,false,false,false,true,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false
barritas de sesamo,img_115,556,32.1,22.4,14.1,38.9,5.3,10.6,0.01,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,true,true,false,false
barritas cereales muesli con fruta,img_116,389,74,26,5.9,7.1,4.6,3.2,0.8,true,false,false,false,false,false,false,false,true,false,false,false,true,true,true,false,false,true,false,true,true,false,false
barritas cereales con frutos secos,img_117,432,64,20,8.1,15,3.9,4.3,0.2,true,false,false,false,false,false,true,false,true,false,false,true,true,true,true,false,false,true,false,true,true,false,false
barrita proteinica sabor coco y chocolate,img_118,398,48,34,26,11,5,0.2,1.1,true,false,false,false,false,false,true,false,true,false,false,false,true,true,true,false,false,true,false,true,true,false,false
barrita proteinica sabor chocolate,img_119,408,58,37,18,11,5.2,,0.3,true,false,false,false,false,false,false,false,true,false,false,false,true,true,true,false,false,true,false,true,true,false,false
galletas maria,img_120,423,76,18,8.1,8.6,0.9,4.8,0.8,true,false,false,false,false,false,true,false,true,false,false,false,true,true,true,false,false,true,false,false,false,false,false
galletas maria sin gluten sin lactosa,img_121,464,77,21,5.8,14,1.3,3.2,0.9,false,true,false,false,false,false,true,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false
galletas maria integrales,img_122,423,76.8,31.1,6.9,10.1,1.5,2.8,1.5,true,false,false,false,false,false,true,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false
